2,"              precision    recall  f1-score   support

           0       0.54      0.39      0.45    344862
           1       0.54      0.69      0.61    366080

    accuracy                           0.54    710942
   macro avg       0.54      0.54      0.53    710942
weighted avg       0.54      0.54      0.53    710942
"
3,"              precision    recall  f1-score   support

           0       0.54      0.39      0.45    344862
           1       0.54      0.69      0.61    366080

    accuracy                           0.54    710942
   macro avg       0.54      0.54      0.53    710942
weighted avg       0.54      0.54      0.53    710942
"
4,"              precision    recall  f1-score   support

           0       0.54      0.39      0.45    344862
           1       0.54      0.69      0.61    366080

    accuracy                           0.54    710942
   macro avg       0.54      0.54      0.53    710942
weighted avg       0.54      0.54      0.53    710942
"
5,"              precision    recall  f1-score   support

           0       0.54      0.39      0.45    344862
           1       0.54      0.68      0.60    366080

    accuracy                           0.54    710942
   macro avg       0.54      0.54      0.53    710942
weighted avg       0.54      0.54      0.53    710942
"
6,"              precision    recall  f1-score   support

           0       0.50      0.60      0.55    344862
           1       0.54      0.44      0.48    366080

    accuracy                           0.52    710942
   macro avg       0.52      0.52      0.51    710942
weighted avg       0.52      0.52      0.51    710942
"
7,"              precision    recall  f1-score   support

           0       0.50      0.55      0.52    344862
           1       0.53      0.48      0.51    366080

    accuracy                           0.51    710942
   macro avg       0.51      0.51      0.51    710942
weighted avg       0.52      0.51      0.51    710942
"
8,"              precision    recall  f1-score   support

           0       0.50      0.53      0.52    344862
           1       0.53      0.49      0.51    366080

    accuracy                           0.51    710942
   macro avg       0.51      0.51      0.51    710942
weighted avg       0.51      0.51      0.51    710942
"
9,"              precision    recall  f1-score   support

           0       0.50      0.48      0.49    344862
           1       0.53      0.55      0.54    366080

    accuracy                           0.52    710942
   macro avg       0.52      0.52      0.52    710942
weighted avg       0.52      0.52      0.52    710942
"
10,"              precision    recall  f1-score   support

           0       0.50      0.48      0.49    344862
           1       0.53      0.56      0.54    366080

    accuracy                           0.52    710942
   macro avg       0.52      0.52      0.52    710942
weighted avg       0.52      0.52      0.52    710942
"
11,"              precision    recall  f1-score   support

           0       0.51      0.49      0.50    344862
           1       0.54      0.56      0.55    366080

    accuracy                           0.53    710942
   macro avg       0.53      0.53      0.52    710942
weighted avg       0.53      0.53      0.53    710942
"
12,"              precision    recall  f1-score   support

           0       0.52      0.49      0.50    344862
           1       0.54      0.57      0.56    366080

    accuracy                           0.53    710942
   macro avg       0.53      0.53      0.53    710942
weighted avg       0.53      0.53      0.53    710942
"
13,"              precision    recall  f1-score   support

           0       0.54      0.52      0.53    344862
           1       0.56      0.58      0.57    366080

    accuracy                           0.55    710942
   macro avg       0.55      0.55      0.55    710942
weighted avg       0.55      0.55      0.55    710942
"
14,"              precision    recall  f1-score   support

           0       0.54      0.52      0.53    344862
           1       0.56      0.58      0.57    366080

    accuracy                           0.55    710942
   macro avg       0.55      0.55      0.55    710942
weighted avg       0.55      0.55      0.55    710942
"
15,"              precision    recall  f1-score   support

           0       0.54      0.52      0.53    344862
           1       0.56      0.58      0.57    366080

    accuracy                           0.55    710942
   macro avg       0.55      0.55      0.55    710942
weighted avg       0.55      0.55      0.55    710942
"
16,"              precision    recall  f1-score   support

           0       0.54      0.52      0.53    344862
           1       0.57      0.58      0.57    366080

    accuracy                           0.55    710942
   macro avg       0.55      0.55      0.55    710942
weighted avg       0.55      0.55      0.55    710942
"
17,"              precision    recall  f1-score   support

           0       0.54      0.52      0.53    344862
           1       0.57      0.58      0.57    366080

    accuracy                           0.55    710942
   macro avg       0.55      0.55      0.55    710942
weighted avg       0.55      0.55      0.55    710942
"
